縣市,鄉鎮,測站ID,經度,緯度,,,
台中市,石岡區,C0F850,120.833047,24.246428,%25E6%259D%25B1%25E5%258B%25A2,東勢,
台中市,后里區,C0F9X0,120.62445,24.21528,%25E5%25A4%25A7%25E9%259B%2585,大雅,
台中市,和平區,C0F9M0,120.720692,24.254322,%25E8%25B1%2590%25E5%258E%259F,豐原,
台中市,東勢區,C0F850,120.833047,24.246428,%25E6%259D%25B1%25E5%258B%25A2,,
台東縣,台東地區,467660,121.154586,22.752211,%25E8%2587%25BA%25E6%259D%25B1,,
台南市,大內區,C0O930,120.46055,23.126042,%25E7%258E%2589%25E4%25BA%2595,玉井,
台南市,玉井區,C0O930,120.46055,23.126042,%25E7%258E%2589%25E4%25BA%2595,,
台南市,官田區,C0O900,120.297219,23.112883,%25E5%2596%2584%25E5%258C%2596,善化,
台南市,東山區,C0O930,120.46055,23.126042,%25E6%2596%25B0%25E7%2587%259F,新營,
台南市,南化區,467080,121.756528,24.763975,%25E7%2594%25B2%25E4%25BB%2599,甲仙,
宜蘭縣,冬山鄉,C0U680,121.793544,24.632419,%25E5%2586%25AC%25E5%25B1%25B1,宜蘭,
宜蘭縣,員山鄉,C0U520,121.641303,24.753033,%25E9%259B%2599%25E9%2580%25A3%25E5%259F%25A4,雙連埤,##
宜蘭縣,頭城鎮,C0U600,121.765536,24.817544,%25E7%25A4%2581%25E6%25BA%25AA,礁溪,
花蓮縣,玉溪地區,C0Z061,121.339656,23.3215,%25E7%258E%2589%25E9%2587%258C,玉里,
花蓮縣,花蓮市,466990,121.613275,23.975128,%25E8%258A%25B1%25E8%2593%25AE,,
花蓮縣,富里鄉,467610,121.373428,23.097486,%25E6%2588%2590%25E5%258A%259F,成功,
花蓮縣,瑞穗鄉,C0Z061,121.339656,23.3215,%25E7%258E%2589%25E9%2587%258C,玉里,
金門縣,金門地區,467110,118.289281,24.407306,%25E9%2587%2591%25E9%2596%2580,,
南投縣,中寮鄉,C0H950,120.766406,23.884447,%25E4%25B8%25AD%25E5%25AF%25AE,,
南投縣,水里鄉,467650,120.90805,23.881325,%25E6%2597%25A5%25E6%259C%2588%25E6%25BD%25AD,日月潭,
南投縣,埔里鎮,467650,120.90805,23.881325,%25E6%2597%25A5%25E6%259C%2588%25E6%25BD%25AD,日月潭,
屏東縣,里港鄉,C0R150,120.639944,22.709889,%25E4%25B8%2589%25E5%259C%25B0%25E9%2596%2580, 三地門,
屏東縣,佳冬鄉,C0R400,120.692725,22.190197,%25E6%25A5%2593%25E6%25B8%25AF,枋寮,
屏東縣,枋山地區,C0R400,120.692725,22.190197,%25E6%25A5%2593%25E6%25B8%25AF,枋寮,
屏東縣,枋寮地區,C0R400,120.692725,22.190197,%25E6%25A5%2593%25E6%25B8%25AF,,
屏東縣,長治鄉,C0R170,120.494072,22.660269,%25E5%25B1%258F%25E6%259D%25B1,屏東,
屏東縣,高樹鄉,C0R150,120.639944,22.709889,%25E4%25B8%2589%25E5%259C%25B0%25E9%2596%2580,三地門,
屏東縣,麟洛鄉,C0R500,120.544008,22.584917,%25E7%25AB%25B9%25E7%2594%25B0,竹田,
苗栗縣,三灣鄉,C0D430,121.017189,24.6905,%25E5%25B3%25A8%25E7%259C%2589,峨嵋,
苗栗縣,公館鄉,C0E780,120.790853,24.489681,%25E9%258A%2585%25E9%2591%25BC,銅鑼,
苗栗縣,卓蘭鎮,C0F850,120.833047,24.246428,%25E6%259D%25B1%25E5%258B%25A2,東勢,
桃園市,大溪區,C0C490,121.283289,24.928708,%25E5%2585%25AB%25E5%25BE%25B7,八德,
桃園市,復興區,C0C460,121.352281,24.820208,%25E5%25BE%25A9%25E8%2588%2588,,
桃園市,龍潭區,C0D390,121.173947,24.798228,%25E9%2597%259C%25E8%25A5%25BF,關西,
高雄市,大社區,C0V670,120.286,22.71975,%25E6%25A5%25A0%25E6%25A2%2593,楠梓,
高雄市,六龜區,C0V800,120.633583,22.997889,%25E5%2585%25AD%25E9%25BE%259C,,
高雄市,田寮區,C0V740,120.483597,22.888614,%25E6%2597%2597%25E5%25B1%25B1,旗山,
高雄市,杉林區,C0V310,120.519153,22.898742,%25E7%25BE%258E%25E6%25BF%2583,美濃,
高雄市,阿蓮區,C0V740,120.483597,22.888614,%25E6%2597%2597%25E5%25B1%25B1,旗山,##
高雄市,旗山區,C0V740,120.483597,22.888614,%25E6%2597%2597%25E5%25B1%25B1,,
高雄市,燕巢區,C0V740,120.483597,22.888614,%25E6%2597%2597%25E5%25B1%25B1,旗山,##
雲林縣,斗六市,C0K330,120.442036,23.719183,%25E8%2599%258E%25E5%25B0%25BE,虎尾,
雲林縣,古坑鄉,C0K240,120.693461,23.59555,%25E8%258D%2589%25E5%25B6%25BA,草嶺,
雲林縣,林內鄉,C0I110,120.688156,23.761225,%25E7%25AB%25B9%25E5%25B1%25B1,竹山,
新竹縣,北埔鄉,C0D430,121.017189,24.6905,%25E5%25B3%25A8%25E7%259C%2589,峨眉,
新竹縣,芎林鄉,C0D540,121.11693,24.71116,%25E6%25A9%25AB%25E5%25B1%25B1,橫山,
新竹縣,峨眉鄉,C0D430,121.017189,24.6905,%25E5%25B3%25A8%25E7%259C%2589,,
新竹縣,新埔鎮,467571,121.014219,24.827853,%25E6%2596%25B0%25E7%25AB%25B9,新竹?,
新竹縣,關西鎮,C0D390,121.173947,24.798228,%25E9%2597%259C%25E8%25A5%25BF,,
嘉義縣,中埔鄉,C0M410,120.582017,23.324361,%25E9%25A6%25AC%25E9%25A0%25AD%25E5%25B1%25B1,馬里山,
嘉義縣,竹崎鄉,C0M720,120.554156,23.464657,%25E7%2595%25AA%25E8%25B7%25AF,番路,
嘉義縣,梅山鄉,C0M770,120.555587,23.585398,%25E9%25A6%25AC%25E9%25A0%25AD%25E5%25B1%25B1,馬頭山,
嘉義縣,番路鄉,C0M720,120.554156,23.464657,%25E7%2595%25AA%25E8%25B7%25AF,,
嘉義縣,義竹鄉,C0X250,120.316698,23.310712,%25E6%2596%25B0%25E7%2587%259F,新營,
彰化縣,二林鎮,C0G840,120.514222,23.877586,%25E5%258C%2597%25E6%2596%2597,北斗,
彰化縣,社頭鄉,C0G650,120.585597,23.946503,%25E5%2593%25A1%25E6%259E%2597,員林,
彰化縣,花壇鄉,C0G650,120.585597,23.946503,%25E5%2593%25A1%25E6%259E%2597,員林,
彰化縣,員林市,C0G650,120.585597,23.946503,%25E5%2593%25A1%25E6%259E%2597,,
彰化縣,溪州鄉,C0G840,120.514222,23.877586,%25E5%258C%2597%25E6%2596%2597,北斗,
澎湖縣,澎湖地區,467110,118.289281,24.407306,%25E6%25BE%258E%25E6%25B9%2596,,
