害蟲名稱,縣市,鄉鎮,年度,月份,旬,平均值
斜紋夜蛾,彰化縣,福興鄉,2015,2,1,3
斜紋夜蛾,彰化縣,田尾鄉,2015,2,1,5
斜紋夜蛾,彰化縣,大城鄉,2015,2,1,8.7
斜紋夜蛾,新竹縣,竹北市,2015,2,1,8.3
斜紋夜蛾,新北市,蘆洲區,2015,2,1,3
斜紋夜蛾,雲林縣,褒忠鄉,2015,2,1,3.3
斜紋夜蛾,高雄市,岡山區,2015,2,1,3.7
斜紋夜蛾,苗栗縣,後龍鎮,2015,2,1,1.7
斜紋夜蛾,花連縣,新秀地區,2015,2,1,4.3
斜紋夜蛾,花連縣,吉安鄉,2015,2,1,5.7
斜紋夜蛾,台南市,官田區,2015,2,1,2.7
斜紋夜蛾,台中市,霧峰區,2015,2,1,68
斜紋夜蛾,台中市,龍井區,2015,2,1,2
斜紋夜蛾,台中市,大甲區,2015,2,1,0.7
斜紋夜蛾,彰化縣,福興鄉,2015,1,3,4.3
斜紋夜蛾,彰化縣,田尾鄉,2015,1,3,5
斜紋夜蛾,彰化縣,大城鄉,2015,1,3,16.7
斜紋夜蛾,新竹縣,竹北市,2015,1,3,8.7
斜紋夜蛾,新北市,蘆洲區,2015,1,3,1
斜紋夜蛾,雲林縣,褒忠鄉,2015,1,3,3
斜紋夜蛾,高雄市,岡山區,2015,1,3,5.3
斜紋夜蛾,苗栗縣,後龍鎮,2015,1,3,5.3
斜紋夜蛾,花蓮縣,新秀地區,2015,1,3,5.7
斜紋夜蛾,花蓮縣,吉安鄉,2015,1,3,5.3
斜紋夜蛾,台南市,官田區,2015,1,3,0.7
斜紋夜蛾,台中市,霧峰區,2015,1,3,73.3
斜紋夜蛾,台中市,龍井區,2015,1,3,2.7
斜紋夜蛾,台中市,大甲區,2015,1,3,0.7
斜紋夜蛾,彰化縣,福興鄉,2015,1,2,8
斜紋夜蛾,彰化縣,田尾鄉,2015,1,2,5
斜紋夜蛾,彰化縣,大城鄉,2015,1,2,10.7
斜紋夜蛾,新竹縣,竹北市,2015,1,2,8.3
斜紋夜蛾,新北市,蘆洲區,2015,1,2,0.3
斜紋夜蛾,雲林縣,褒忠鄉,2015,1,2,5.3
斜紋夜蛾,高雄市,岡山區,2015,1,2,8.3
斜紋夜蛾,苗栗縣,後龍鎮,2015,1,2,6.3
斜紋夜蛾,花蓮縣,新秀地區,2015,1,2,6
斜紋夜蛾,花蓮縣,吉安鄉,2015,1,2,5.7
斜紋夜蛾,台南市,官田區,2015,1,2,2.7
斜紋夜蛾,台中市,龍井區,2015,1,2,7.3
斜紋夜蛾,台中市,大甲區,2015,1,2,3.3
斜紋夜蛾,彰化縣,福興鄉,2015,1,1,9.7
斜紋夜蛾,彰化縣,田尾鄉,2015,1,1,8.3
斜紋夜蛾,彰化縣,大城鄉,2015,1,1,7.7
斜紋夜蛾,新竹縣,竹北市,2015,1,1,7
斜紋夜蛾,新北市,蘆洲區,2015,1,1,0
斜紋夜蛾,雲林縣,褒忠鄉,2015,1,1,3.7
斜紋夜蛾,高雄市,岡山區,2015,1,1,8
斜紋夜蛾,苗栗縣,後龍鎮,2015,1,1,11
斜紋夜蛾,花蓮縣,新秀地區,2015,1,1,7.3
