,害蟲名稱,縣市,鄉鎮,年度,月份,旬,平均值,ID,date,St
0,斜紋夜蛾,彰化縣,福興鄉,2015,2,1,3.0,C0G640,2015-02-01,C0G640
1,斜紋夜蛾,彰化縣,田尾鄉,2015,2,1,5.0,C0G840,2015-02-01,C0G840
2,斜紋夜蛾,彰化縣,大城鄉,2015,2,1,8.7,C0G840,2015-02-01,C0G840
3,斜紋夜蛾,新竹縣,竹北市,2015,2,1,8.3,467571,2015-02-01,467571
4,斜紋夜蛾,新北市,蘆洲區,2015,2,1,3.0,C0ACA0,2015-02-01,C0ACA0
5,斜紋夜蛾,雲林縣,褒忠鄉,2015,2,1,3.3,C0K250,2015-02-01,C0K250
6,斜紋夜蛾,高雄市,岡山區,2015,2,1,3.7,C0V670,2015-02-01,C0V670
7,斜紋夜蛾,苗栗縣,後龍鎮,2015,2,1,1.7,C0E750,2015-02-01,C0E750
8,斜紋夜蛾,花連縣,新秀地區,2015,2,1,4.3,466990,2015-02-01,466990
9,斜紋夜蛾,花連縣,吉安鄉,2015,2,1,5.7,466990,2015-02-01,466990
10,斜紋夜蛾,台南市,官田區,2015,2,1,2.7,C0O900,2015-02-01,C0O900
11,斜紋夜蛾,台中市,霧峰區,2015,2,1,68.0,C1F9B1,2015-02-01,C1F9B1
12,斜紋夜蛾,台中市,龍井區,2015,2,1,2.0,467770,2015-02-01,467770
13,斜紋夜蛾,台中市,大甲區,2015,2,1,0.7,C0F930,2015-02-01,C0F930
14,斜紋夜蛾,彰化縣,福興鄉,2015,1,3,4.3,C0G640,2015-01-21,C0G640
15,斜紋夜蛾,彰化縣,田尾鄉,2015,1,3,5.0,C0G840,2015-01-21,C0G840
16,斜紋夜蛾,彰化縣,大城鄉,2015,1,3,16.7,C0G840,2015-01-21,C0G840
17,斜紋夜蛾,新竹縣,竹北市,2015,1,3,8.7,467571,2015-01-21,467571
18,斜紋夜蛾,新北市,蘆洲區,2015,1,3,1.0,C0ACA0,2015-01-21,C0ACA0
19,斜紋夜蛾,雲林縣,褒忠鄉,2015,1,3,3.0,C0K250,2015-01-21,C0K250
20,斜紋夜蛾,高雄市,岡山區,2015,1,3,5.3,C0V670,2015-01-21,C0V670
21,斜紋夜蛾,苗栗縣,後龍鎮,2015,1,3,5.3,C0E750,2015-01-21,C0E750
22,斜紋夜蛾,花蓮縣,新秀地區,2015,1,3,5.7,466990,2015-01-21,466990
23,斜紋夜蛾,花蓮縣,吉安鄉,2015,1,3,5.3,466990,2015-01-21,466990
24,斜紋夜蛾,台南市,官田區,2015,1,3,0.7,C0O900,2015-01-21,C0O900
25,斜紋夜蛾,台中市,霧峰區,2015,1,3,73.3,C1F9B1,2015-01-21,C1F9B1
26,斜紋夜蛾,台中市,龍井區,2015,1,3,2.7,467770,2015-01-21,467770
27,斜紋夜蛾,台中市,大甲區,2015,1,3,0.7,C0F930,2015-01-21,C0F930
28,斜紋夜蛾,彰化縣,福興鄉,2015,1,2,8.0,C0G640,2015-01-11,C0G640
29,斜紋夜蛾,彰化縣,田尾鄉,2015,1,2,5.0,C0G840,2015-01-11,C0G840
30,斜紋夜蛾,彰化縣,大城鄉,2015,1,2,10.7,C0G840,2015-01-11,C0G840
31,斜紋夜蛾,新竹縣,竹北市,2015,1,2,8.3,467571,2015-01-11,467571
32,斜紋夜蛾,新北市,蘆洲區,2015,1,2,0.3,C0ACA0,2015-01-11,C0ACA0
33,斜紋夜蛾,雲林縣,褒忠鄉,2015,1,2,5.3,C0K250,2015-01-11,C0K250
34,斜紋夜蛾,高雄市,岡山區,2015,1,2,8.3,C0V670,2015-01-11,C0V670
35,斜紋夜蛾,苗栗縣,後龍鎮,2015,1,2,6.3,C0E750,2015-01-11,C0E750
36,斜紋夜蛾,花蓮縣,新秀地區,2015,1,2,6.0,466990,2015-01-11,466990
37,斜紋夜蛾,花蓮縣,吉安鄉,2015,1,2,5.7,466990,2015-01-11,466990
38,斜紋夜蛾,台南市,官田區,2015,1,2,2.7,C0O900,2015-01-11,C0O900
39,斜紋夜蛾,台中市,龍井區,2015,1,2,7.3,467770,2015-01-11,467770
40,斜紋夜蛾,台中市,大甲區,2015,1,2,3.3,C0F930,2015-01-11,C0F930
41,斜紋夜蛾,彰化縣,福興鄉,2015,1,1,9.7,C0G640,2015-01-01,C0G640
42,斜紋夜蛾,彰化縣,田尾鄉,2015,1,1,8.3,C0G840,2015-01-01,C0G840
43,斜紋夜蛾,彰化縣,大城鄉,2015,1,1,7.7,C0G840,2015-01-01,C0G840
44,斜紋夜蛾,新竹縣,竹北市,2015,1,1,7.0,467571,2015-01-01,467571
45,斜紋夜蛾,新北市,蘆洲區,2015,1,1,0.0,C0ACA0,2015-01-01,C0ACA0
46,斜紋夜蛾,雲林縣,褒忠鄉,2015,1,1,3.7,C0K250,2015-01-01,C0K250
47,斜紋夜蛾,高雄市,岡山區,2015,1,1,8.0,C0V670,2015-01-01,C0V670
48,斜紋夜蛾,苗栗縣,後龍鎮,2015,1,1,11.0,C0E750,2015-01-01,C0E750
49,斜紋夜蛾,花蓮縣,新秀地區,2015,1,1,7.3,466990,2015-01-01,466990
50,斜紋夜蛾,花蓮縣,吉安鄉,2015,1,1,6.7,466990,2015-01-01,466990
51,斜紋夜蛾,台南市,官田區,2015,1,1,3.0,C0O900,2015-01-01,C0O900
52,斜紋夜蛾,台中市,霧峰區,2015,1,1,85.3,C1F9B1,2015-01-01,C1F9B1
53,斜紋夜蛾,台中市,龍井區,2015,1,1,20.0,467770,2015-01-01,467770
54,斜紋夜蛾,台中市,大甲區,2015,1,1,2.7,C0F930,2015-01-01,C0F930
55,斜紋夜蛾,彰化縣,福興鄉,2014,12,3,8.3,C0G640,2014-12-21,C0G640
56,斜紋夜蛾,彰化縣,田尾鄉,2014,12,3,3.3,C0G840,2014-12-21,C0G840
57,斜紋夜蛾,彰化縣,大城鄉,2014,12,3,10.7,C0G840,2014-12-21,C0G840
58,斜紋夜蛾,新竹縣,竹北市,2014,12,3,9.7,467571,2014-12-21,467571
59,斜紋夜蛾,新北市,蘆洲區,2014,12,3,15.7,C0ACA0,2014-12-21,C0ACA0
60,斜紋夜蛾,雲林縣,褒忠鄉,2014,12,3,6.3,C0K250,2014-12-21,C0K250
61,斜紋夜蛾,高雄市,岡山區,2014,12,3,5.7,C0V670,2014-12-21,C0V670
62,斜紋夜蛾,苗栗縣,後龍鎮,2014,12,3,19.7,C0E750,2014-12-21,C0E750
63,斜紋夜蛾,花蓮縣,新秀地區,2014,12,3,7.7,466990,2014-12-21,466990
64,斜紋夜蛾,花蓮縣,吉安鄉,2014,12,3,6.0,466990,2014-12-21,466990
65,斜紋夜蛾,宜蘭縣,三星地區,2014,12,3,2.7,C1U660,2014-12-21,C1U660
66,斜紋夜蛾,台南市,官田區,2014,12,3,4.0,C0O900,2014-12-21,C0O900
